task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,avg_experience,juniors,mediors,seniors,tech_leads,predicted_duration_days
Design Review,Medium,Tech Lead,C++,Low,6,4,2,12,6,10,False,2,False,2.71,3,0,1,0,2.75
Client Meeting,Medium,Tech Lead,Other,Low,5,2,0,10,4,15,False,2,False,2.44,1,1,0,0,2.06
Refactoring,High,Junior,Go,High,1,2,2,2,4,15,True,2,True,4.24,0,1,1,0,1.09
Client Meeting,Medium,Senior,Java,High,5,5,0,10,10,16,True,0,False,2.26,2,3,0,0,1.91
Refactoring,High,Senior,Python,Medium,7,2,0,14,9,12,True,0,False,5.49,0,0,2,0,2.71
Refactoring,High,Senior,Python,Critical,12,3,3,24,10,16,False,0,True,3.3,0,2,1,0,6.18
Design Review,Low,Tech Lead,Python,Medium,7,3,3,14,3,12,False,0,False,2.72,2,0,1,0,2.73
Bug Fix,Low,Senior,Java,Medium,10,4,1,20,6,11,False,0,True,3.46,0,4,0,0,4.09
Deployment,Low,Tech Lead,C++,High,13,3,2,26,7,16,False,0,False,2.01,2,1,0,0,4.97
Refactoring,High,Junior,C++,Medium,6,3,0,12,6,14,False,1,False,3.96,1,1,0,1,2.57
Documentation,Medium,Tech Lead,JavaScript,Low,13,5,0,26,7,11,True,2,False,4.05,1,2,1,1,4.78
Bug Fix,Medium,Tech Lead,Other,High,3,1,3,6,3,11,False,0,False,1.18,1,0,0,0,1.56
Bug Fix,Medium,Junior,Go,Low,11,2,3,22,4,16,True,1,False,5.38,0,0,2,0,4.47
Documentation,High,Tech Lead,Java,Medium,5,5,1,10,8,14,True,3,False,3.62,2,2,0,1,2.48
Refactoring,Low,Junior,JavaScript,Low,13,1,1,26,9,14,False,3,True,6.54,0,0,0,1,4.65
Testing,Medium,Junior,JavaScript,Medium,1,2,2,2,2,9,False,0,False,4.34,1,0,0,1,0.66
Documentation,Low,Mid,Go,Critical,2,2,2,4,9,18,True,1,False,4.49,0,1,1,0,0.85
Testing,High,Mid,JavaScript,Critical,1,1,3,2,1,15,True,1,False,3.93,0,1,0,0,0.99
Deployment,Low,Tech Lead,JavaScript,High,12,1,2,24,3,16,True,0,True,4.59,0,0,1,0,4.85
Deployment,High,Mid,Java,Low,12,1,0,24,8,13,True,3,False,5.12,0,0,1,0,5.46
Code Review,High,Mid,JavaScript,High,13,3,2,26,9,13,True,2,True,3.01,0,3,0,0,7.13
Bug Fix,High,Tech Lead,Python,Critical,10,1,2,20,8,9,True,1,False,1.3,1,0,0,0,5.29
Design Review,High,Tech Lead,JavaScript,Low,2,2,2,4,6,14,False,3,False,4.1,1,0,0,1,1.45
Client Meeting,High,Junior,Go,Medium,11,1,2,22,3,16,False,2,False,3.1,0,1,0,0,5.17
Refactoring,Medium,Junior,JavaScript,High,12,2,3,24,6,14,True,2,False,3.92,0,1,1,0,5.31
Bug Fix,High,Senior,JavaScript,Medium,12,1,2,24,8,17,False,1,False,7.04,0,0,0,1,5.09
Feature Dev,High,Junior,Python,High,7,5,3,14,3,15,False,3,False,4.05,1,3,0,1,3.37
Refactoring,Low,Junior,Go,Medium,5,5,1,10,10,11,True,2,True,3.63,1,2,2,0,2.06
Feature Dev,High,Senior,Go,Low,1,4,1,2,8,10,False,2,True,3.13,1,2,1,0,0.79
Code Review,Low,Tech Lead,C++,Critical,8,3,2,16,5,16,False,1,True,6.08,0,0,2,1,2.88
Testing,Low,Junior,Python,High,7,2,1,14,5,16,False,3,False,6.41,0,0,1,1,2.45
Code Review,Low,Tech Lead,Go,Critical,4,4,0,8,7,14,True,2,True,2.77,1,2,1,0,1.72
Code Review,Medium,Junior,Go,Medium,6,5,3,12,4,18,False,0,False,4.46,2,1,0,2,2.45
Refactoring,Medium,Junior,Python,Low,3,5,3,6,10,13,True,3,False,3.24,3,1,0,1,1.85
Deployment,Low,Senior,JavaScript,Low,7,5,3,14,2,12,True,0,False,3.54,1,3,1,0,2.67
Code Review,Medium,Senior,C++,Medium,7,1,3,14,3,16,False,3,False,6.5,0,0,1,0,3.05
Refactoring,Medium,Senior,Other,High,10,2,2,20,9,13,False,1,False,7.23,0,0,0,2,3.56
Documentation,Low,Tech Lead,C++,High,13,1,0,26,9,13,True,2,False,1.44,1,0,0,0,5.17
Feature Dev,Low,Mid,Java,Low,11,4,1,22,8,16,True,1,False,2.97,2,2,0,0,4.4
Testing,Medium,Senior,JavaScript,Low,13,2,0,26,5,9,False,1,True,4.36,0,1,1,0,5.07
Code Review,Medium,Junior,JavaScript,High,8,4,1,16,4,11,False,3,False,3.09,2,0,2,0,3.2
Client Meeting,Medium,Senior,Python,Critical,11,2,3,22,5,14,True,1,True,1.45,2,0,0,0,5.78
Testing,Low,Junior,C++,High,3,3,0,6,8,17,False,2,False,3.34,2,0,0,1,1.24
Testing,Low,Junior,Go,Critical,9,5,0,18,8,9,True,0,False,3.91,2,1,1,1,3.08
Deployment,Low,Tech Lead,C++,Low,9,1,0,18,2,16,True,2,False,5.19,0,0,1,0,3.35
Code Review,Medium,Tech Lead,Java,Medium,13,4,2,26,9,15,False,3,False,3.88,2,1,0,1,4.99
Refactoring,Low,Mid,Python,Low,5,2,3,10,10,9,False,3,False,2.5,1,1,0,0,2.55
Testing,Low,Junior,Python,Low,8,4,1,16,10,18,False,0,False,4.48,0,2,2,0,2.64
Design Review,Low,Senior,Java,Medium,7,4,1,14,3,17,False,0,False,2.33,2,2,0,0,2.54
Deployment,Low,Mid,JavaScript,Medium,13,5,3,26,7,18,False,0,False,1.77,4,1,0,0,4.93
Code Review,Low,Mid,Go,Medium,8,1,2,16,10,12,False,2,True,1.19,1,0,0,0,3.94
Client Meeting,Low,Senior,JavaScript,Critical,8,5,2,16,3,9,True,2,False,4.66,0,1,4,0,2.99
Documentation,High,Tech Lead,JavaScript,Medium,4,3,1,8,9,16,False,3,False,4.72,1,0,1,1,1.78
Feature Dev,High,Junior,Go,Low,2,2,0,4,8,16,False,0,False,1.22,2,0,0,0,1.11
Code Review,Low,Tech Lead,Python,Low,9,4,0,18,7,10,False,2,False,3.89,2,0,1,1,2.86
Design Review,Medium,Tech Lead,Go,Medium,12,4,0,24,2,17,True,0,True,3.6,1,2,1,0,5.26
Code Review,Low,Mid,Other,Critical,5,5,2,10,10,12,False,0,True,2.66,3,1,1,0,2.09
Client Meeting,High,Senior,C++,Medium,13,4,2,26,8,16,True,0,False,2.77,2,2,0,0,6.49
Testing,Medium,Tech Lead,C++,Medium,11,3,0,22,2,10,False,3,False,4.23,1,0,2,0,4.0
Code Review,Medium,Tech Lead,JavaScript,High,2,5,3,4,9,12,False,1,True,2.99,2,3,0,0,1.54
Refactoring,Low,Tech Lead,Java,Medium,5,4,1,10,3,13,True,3,False,2.83,3,0,1,0,2.19
Code Review,Medium,Senior,Go,Critical,13,5,2,26,10,12,False,3,False,3.08,4,0,0,1,5.27
Design Review,Medium,Senior,C++,High,2,5,1,4,3,13,False,1,False,4.75,2,0,2,1,0.92
Testing,Medium,Mid,Other,Critical,13,5,3,26,4,14,False,3,False,4.91,0,3,1,1,4.78
Feature Dev,High,Junior,Go,Critical,13,3,0,26,9,11,True,3,False,3.26,1,1,1,0,6.16
Design Review,Low,Tech Lead,Python,High,7,2,0,14,8,14,False,0,False,1.78,2,0,0,0,2.6
Bug Fix,Medium,Junior,Other,Low,1,2,1,2,3,15,False,0,False,3.14,0,2,0,0,0.58
Client Meeting,Low,Mid,C++,Critical,7,1,1,14,8,17,True,1,True,3.31,0,1,0,0,2.89
Design Review,High,Tech Lead,Go,Critical,10,3,3,20,7,15,False,2,True,4.26,0,2,0,1,4.92
Feature Dev,High,Tech Lead,C++,Medium,8,2,1,16,7,17,False,1,False,4.01,1,0,1,0,3.42
Refactoring,High,Tech Lead,C++,Critical,7,5,3,14,2,18,True,3,False,2.54,3,1,1,0,3.96
Bug Fix,Medium,Senior,Go,Low,13,2,3,26,4,12,True,1,False,4.3,1,0,0,1,5.48
Design Review,High,Tech Lead,Java,Medium,13,5,0,26,7,9,False,1,True,2.81,3,1,1,0,6.1
Documentation,High,Mid,Other,Medium,4,4,1,8,5,14,False,2,True,2.95,1,3,0,0,2.32
Deployment,Medium,Senior,Go,Low,13,3,3,26,9,18,False,0,False,4.32,1,0,2,0,4.8
Feature Dev,High,Tech Lead,JavaScript,Low,1,2,0,2,3,13,True,3,True,2.38,1,1,0,0,0.92
Bug Fix,High,Senior,JavaScript,Low,6,3,0,12,9,16,True,1,False,4.17,0,1,2,0,2.65
Code Review,Low,Senior,Python,Critical,12,1,1,24,3,10,True,0,True,1.37,1,0,0,0,5.36
Refactoring,High,Junior,Go,Medium,8,5,1,16,5,10,False,1,False,3.82,2,1,2,0,3.31
Testing,High,Senior,Other,Low,11,3,1,22,1,14,False,1,False,4.35,0,1,2,0,4.42
Design Review,Low,Tech Lead,Go,Critical,6,1,3,12,9,13,False,1,False,1.07,1,0,0,0,2.87
Refactoring,Medium,Tech Lead,Other,Critical,2,1,2,4,2,13,True,1,False,3.71,0,1,0,0,1.24
Client Meeting,High,Mid,Python,Medium,2,1,3,4,3,16,False,0,False,1.74,1,0,0,0,1.45
Design Review,High,Senior,Java,High,3,1,0,6,8,16,False,2,False,1.43,1,0,0,0,1.64
Refactoring,Medium,Junior,C++,Medium,6,5,0,12,7,12,True,0,True,2.82,4,0,1,0,2.72
Design Review,Low,Tech Lead,Other,High,5,1,0,10,5,13,False,2,False,1.8,1,0,0,0,1.98
Design Review,Low,Tech Lead,Python,High,4,5,1,8,1,14,False,2,False,5.71,0,1,2,2,1.37
Code Review,High,Tech Lead,Other,High,2,1,3,4,7,14,False,1,True,6.85,0,0,0,1,1.52
Deployment,High,Junior,Go,Low,9,1,0,18,6,14,False,3,True,2.86,0,1,0,0,4.83
Deployment,Medium,Mid,Python,Medium,3,4,1,6,5,18,True,0,False,3.89,0,3,0,1,1.12
Code Review,Low,Senior,Java,Low,12,3,3,24,3,10,False,2,True,3.23,2,0,0,1,4.93
Code Review,Low,Mid,Java,Medium,7,1,2,14,6,10,False,0,False,1.06,1,0,0,0,3.03
Code Review,Medium,Junior,Java,Critical,12,2,3,24,5,16,False,0,False,4.35,1,0,0,1,4.63
Client Meeting,High,Tech Lead,Python,Low,5,5,1,10,6,15,False,3,False,3.08,3,1,0,1,2.53
Documentation,Low,Junior,JavaScript,Medium,1,4,0,2,1,12,False,2,False,5.99,0,1,1,2,0.61
Client Meeting,Medium,Mid,Java,Medium,10,3,0,20,8,9,False,2,False,5.07,0,2,0,1,3.51
Bug Fix,Low,Mid,Go,Medium,1,2,2,2,3,10,False,0,False,3.71,1,0,1,0,0.5
Refactoring,Medium,Junior,JavaScript,Critical,10,2,2,20,10,14,True,2,True,4.18,0,1,1,0,4.69
Testing,High,Mid,C++,High,12,5,1,24,3,14,False,1,False,4.5,2,1,0,2,4.93
Bug Fix,Low,Senior,JavaScript,Medium,11,3,2,22,3,15,False,0,False,2.38,2,1,0,0,4.14
Deployment,Medium,Senior,Go,Critical,2,1,1,4,2,17,False,1,False,1.32,1,0,0,0,1.01
Bug Fix,Medium,Tech Lead,Other,Low,7,1,3,14,5,13,True,1,False,1.97,1,0,0,0,3.5
Testing,Low,Junior,C++,Critical,3,5,3,6,5,10,True,0,True,3.1,2,2,0,1,1.76
Refactoring,Medium,Mid,JavaScript,Critical,6,3,2,12,10,12,False,0,True,1.75,3,0,0,0,2.98
Refactoring,Low,Tech Lead,Go,Critical,9,1,1,18,10,11,False,3,False,1.85,1,0,0,0,3.7
Bug Fix,Medium,Mid,Java,Medium,13,4,3,26,9,14,True,0,True,3.09,2,1,1,0,6.08
Documentation,High,Tech Lead,Python,Critical,2,5,0,4,7,11,False,1,False,5.64,0,0,5,0,0.65
Client Meeting,Low,Tech Lead,JavaScript,Medium,1,3,2,2,6,13,True,2,False,3.87,1,0,2,0,0.89
Client Meeting,High,Junior,Java,Critical,4,3,3,8,1,11,False,3,False,3.11,1,1,1,0,2.56
Testing,Low,Junior,Java,Low,8,4,1,16,6,14,True,2,True,2.38,2,2,0,0,3.69
Feature Dev,Medium,Junior,JavaScript,Low,7,2,1,14,3,18,False,1,True,2.35,1,1,0,0,3.45
Code Review,Low,Senior,Go,High,12,3,3,24,6,17,False,2,False,2.16,2,1,0,0,5.1
Documentation,Medium,Junior,C++,Low,6,3,2,12,3,9,True,2,False,1.97,2,1,0,0,2.95
Deployment,Medium,Senior,C++,Critical,7,2,2,14,9,11,False,1,False,3.91,0,2,0,0,2.85
Documentation,Low,Tech Lead,Java,High,12,2,2,24,2,16,False,1,False,3.23,1,0,1,0,4.28
Code Review,High,Junior,C++,Medium,9,2,2,18,3,10,False,3,True,1.41,2,0,0,0,5.18
Deployment,Medium,Mid,JavaScript,Low,1,2,1,2,7,9,False,1,False,4.59,0,1,1,0,0.76
Code Review,High,Mid,Other,High,1,2,0,2,1,13,False,1,False,3.41,1,0,1,0,0.5
Documentation,Medium,Senior,C++,Medium,6,2,2,12,10,17,False,3,False,6.7,0,0,0,2,2.52
Feature Dev,Low,Senior,Other,Low,7,1,0,14,9,13,False,2,False,2.53,0,1,0,0,2.6
Deployment,High,Mid,Java,Low,5,2,2,10,10,12,False,0,False,4.25,0,1,1,0,2.33
Documentation,High,Mid,JavaScript,Critical,5,4,1,10,2,13,False,3,True,3.45,2,1,0,1,2.72
Testing,Medium,Senior,JavaScript,Critical,1,3,0,2,3,14,False,1,True,3.43,1,0,2,0,0.55
Design Review,Medium,Senior,Other,Low,6,4,0,12,3,10,False,1,False,3.19,2,0,2,0,2.07
Client Meeting,High,Tech Lead,Go,Critical,3,2,0,6,9,18,False,2,False,3.16,0,2,0,0,1.31
Testing,High,Senior,Go,Low,7,4,3,14,3,10,True,1,False,3.98,1,1,2,0,3.46
Deployment,Medium,Mid,JavaScript,High,1,1,3,2,8,9,False,3,False,3.17,0,1,0,0,0.95
Bug Fix,Medium,Tech Lead,Python,Low,2,4,1,4,8,10,False,2,False,2.89,3,0,0,1,1.12
Bug Fix,High,Mid,Python,High,6,1,2,12,4,12,False,2,False,5.99,0,0,1,0,2.75
Bug Fix,Medium,Mid,C++,Medium,12,5,0,24,10,16,False,3,False,3.09,1,3,1,0,4.71
Refactoring,Low,Mid,Other,Medium,2,5,3,4,5,17,False,2,False,5.89,1,0,1,3,1.11
Design Review,High,Mid,Java,Medium,10,2,1,20,7,17,False,2,False,2.67,0,2,0,0,4.83
Documentation,Medium,Junior,Go,Low,1,2,0,2,6,16,True,0,False,4.7,0,1,0,1,0.5
Bug Fix,High,Mid,Other,Critical,4,4,0,8,8,12,False,2,False,4.99,0,2,1,1,1.83
Design Review,High,Mid,Other,Medium,5,5,1,10,6,18,False,0,False,1.85,5,0,0,0,2.25
Code Review,High,Senior,C++,High,2,5,1,4,10,17,False,2,False,2.18,2,3,0,0,1.14
Deployment,High,Junior,Python,High,8,3,0,16,9,17,False,1,True,2.35,2,0,1,0,4.06
Deployment,Medium,Junior,JavaScript,Medium,6,5,1,12,7,10,False,0,False,2.93,2,3,0,0,2.6
Feature Dev,Low,Tech Lead,Other,High,1,5,1,2,10,10,False,0,True,3.86,1,2,1,1,0.5
Code Review,High,Junior,JavaScript,Low,5,4,0,10,3,13,True,2,False,2.44,3,0,1,0,2.41
Design Review,Low,Mid,Python,Low,1,3,0,2,10,9,True,3,False,4.59,1,0,1,1,0.5
Refactoring,Medium,Junior,JavaScript,Low,5,2,2,10,10,11,True,3,True,2.44,1,1,0,0,2.86
Design Review,Medium,Tech Lead,Java,Low,6,3,3,12,10,10,True,1,True,3.89,1,0,2,0,2.86
Documentation,Low,Mid,JavaScript,Low,12,5,0,24,10,13,False,0,True,3.98,0,4,0,1,4.09
Feature Dev,Medium,Junior,C++,High,9,2,1,18,6,9,False,1,True,2.72,1,1,0,0,4.09
Testing,Medium,Mid,Python,High,6,4,2,12,10,11,True,1,True,3.11,2,1,1,0,3.03
Client Meeting,High,Tech Lead,JavaScript,Low,9,3,3,18,4,11,True,1,False,2.71,0,3,0,0,4.83
Feature Dev,Low,Senior,Go,Low,11,4,0,22,10,11,False,2,True,2.69,0,4,0,0,4.44
Code Review,Low,Senior,Java,Critical,10,2,2,20,3,18,False,0,False,5.08,0,1,0,1,3.45
Refactoring,Medium,Mid,Other,High,8,2,1,16,8,18,True,0,False,1.86,2,0,0,0,3.34
Code Review,High,Junior,Python,Critical,11,3,3,22,10,10,False,0,True,4.16,0,2,1,0,5.56
Client Meeting,Low,Senior,C++,Medium,2,1,2,4,6,10,True,3,False,2.51,0,1,0,0,1.28
Feature Dev,Medium,Senior,JavaScript,Critical,10,4,3,20,3,10,False,2,False,3.36,1,3,0,0,4.37
Testing,Medium,Mid,Python,Medium,9,1,0,18,6,10,True,2,False,5.7,0,0,1,0,3.39
Code Review,High,Tech Lead,C++,High,12,4,1,24,1,14,False,0,False,4.48,1,1,1,1,4.82
Testing,High,Junior,Java,Low,5,2,3,10,6,14,False,2,False,3.85,0,1,1,0,2.84
Documentation,Low,Mid,C++,Critical,10,5,3,20,10,16,False,1,True,4.9,2,0,1,2,3.77
Testing,Medium,Tech Lead,Other,Critical,10,4,0,20,4,13,True,3,False,3.92,1,2,0,1,4.13
Bug Fix,Medium,Senior,Python,Medium,8,2,2,16,10,14,True,1,False,2.77,1,1,0,0,3.55
Feature Dev,Low,Junior,Python,Critical,10,3,3,20,4,18,True,0,True,5.86,0,1,1,1,3.79
Feature Dev,Low,Tech Lead,C++,Low,9,5,3,18,8,18,False,1,False,2.58,2,3,0,0,3.58
Design Review,Medium,Mid,C++,Critical,4,3,2,8,7,12,False,2,False,5.05,0,2,0,1,1.82
Feature Dev,High,Mid,C++,Low,3,3,2,6,2,16,False,1,False,2.38,2,0,1,0,1.83
Design Review,Medium,Senior,JavaScript,High,6,5,2,12,7,18,False,0,True,3.04,2,2,1,0,2.92
Documentation,Medium,Mid,Java,High,7,3,0,14,6,18,True,3,False,1.27,3,0,0,0,3.44
Refactoring,Medium,Tech Lead,Java,Medium,1,1,2,2,7,17,False,1,True,1.4,1,0,0,0,0.71
Bug Fix,Low,Senior,Go,Medium,2,3,2,4,8,17,True,3,False,2.09,1,2,0,0,1.51
Documentation,High,Tech Lead,Java,Medium,10,4,2,20,6,13,False,3,False,2.92,1,2,1,0,4.99
Deployment,High,Junior,Other,Critical,13,5,3,26,5,10,False,0,False,1.93,3,2,0,0,6.33
Client Meeting,High,Mid,Go,High,5,1,3,10,4,14,True,2,False,1.29,1,0,0,0,3.18
Code Review,Low,Junior,Go,Low,3,4,2,6,1,14,True,2,False,2.94,2,1,1,0,1.53
Bug Fix,Low,Junior,JavaScript,Critical,2,3,1,4,1,12,False,1,False,4.62,1,0,2,0,0.93
Deployment,High,Junior,Go,Medium,8,1,2,16,1,12,True,2,False,5.46,0,0,1,0,3.78
Bug Fix,Low,Tech Lead,JavaScript,Low,3,1,3,6,4,11,False,0,False,6.73,0,0,0,1,1.42
Deployment,Low,Senior,Other,Low,1,2,0,2,7,14,True,1,False,2.33,1,1,0,0,0.5
Feature Dev,Medium,Junior,C++,Critical,9,5,1,18,6,16,False,3,False,3.93,2,0,2,1,3.27
Code Review,High,Tech Lead,Other,Medium,1,1,1,2,10,13,True,2,False,3.08,0,1,0,0,0.84
Design Review,Medium,Senior,Python,Low,9,1,1,18,9,18,True,0,False,1.49,1,0,0,0,4.02
Documentation,Low,Senior,Java,Low,1,1,3,2,1,18,False,1,False,3.04,0,1,0,0,1.0
Documentation,High,Junior,Other,Low,5,2,0,10,7,10,True,1,True,2.2,1,1,0,0,2.83
Design Review,High,Tech Lead,Other,Critical,2,2,3,4,7,15,False,1,True,3.85,0,2,0,0,1.65
Design Review,High,Mid,Go,Medium,7,4,2,14,4,14,False,2,False,2.39,3,0,0,1,3.65
Code Review,High,Senior,Go,Medium,2,3,1,4,6,16,True,2,True,2.75,2,0,1,0,1.21
Feature Dev,Medium,Junior,Go,High,1,3,0,2,1,15,False,3,False,3.54,1,1,1,0,0.68
Code Review,Medium,Junior,JavaScript,Medium,6,4,1,12,1,17,True,1,False,4.23,1,1,1,1,2.35
Client Meeting,Medium,Junior,C++,Critical,13,4,3,26,10,10,False,1,False,3.6,1,2,0,1,5.22
Bug Fix,High,Tech Lead,C++,High,6,2,0,12,4,14,False,2,True,4.87,0,1,0,1,2.92
Feature Dev,High,Junior,Python,Low,4,1,2,8,5,17,True,1,False,1.47,1,0,0,0,2.38
Deployment,High,Mid,Other,Low,7,3,2,14,6,10,True,0,False,2.28,2,1,0,0,3.69
Code Review,Medium,Tech Lead,Java,Critical,9,5,2,18,3,9,False,0,False,3.33,1,3,0,1,3.48
Design Review,High,Senior,JavaScript,High,4,4,0,8,7,17,False,2,False,4.15,1,1,2,0,1.61
Testing,Medium,Mid,Go,Medium,7,2,3,14,3,15,False,2,False,2.8,0,2,0,0,3.49
Feature Dev,High,Mid,JavaScript,Low,9,2,1,18,5,11,True,0,False,5.32,0,0,2,0,3.98
Testing,Low,Mid,Java,Low,13,2,1,26,6,11,False,2,False,2.45,1,1,0,0,5.0
Client Meeting,Medium,Tech Lead,Java,Medium,4,4,0,8,8,12,False,3,True,1.87,3,1,0,0,2.15
Client Meeting,Medium,Junior,Go,Critical,12,1,0,24,1,12,False,0,False,6.47,0,0,1,0,4.15
Documentation,Medium,Tech Lead,JavaScript,High,8,2,0,16,9,11,False,2,True,3.25,0,2,0,0,3.72
Client Meeting,Medium,Senior,C++,Low,3,3,3,6,9,15,True,1,False,4.86,0,1,1,1,1.47
