task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,duration_days
Bugfix,Low,Senior,JavaScript,Low,8,10,1,21,4,18,False,2,False,4.5
Feature Dev,Low,Mid,Java,Critical,9,10,3,21,11,18,True,2,True,6.75
Feature Dev,Low,Senior,Java,Medium,13,6,0,19,8,17,False,2,True,3.0
Research,Low,Junior,Java,Critical,12,2,2,20,8,18,True,3,False,9.5
Research,Low,Junior,JavaScript,Medium,12,9,0,37,7,9,True,0,True,8.2
Bugfix,High,Senior,Java,Medium,13,7,4,10,3,14,False,1,False,3.3
Research,Medium,Mid,Python,Medium,2,9,5,10,3,18,True,0,True,6.1
Research,Medium,Senior,JavaScript,Low,1,4,4,25,7,10,False,3,True,3.1
Feature Dev,Medium,Senior,JavaScript,Low,10,6,0,40,6,17,False,1,False,3.0
Research,High,Senior,Java,Medium,4,10,0,20,7,15,True,2,False,4.5
Research,Medium,Senior,Java,Medium,8,6,5,12,14,13,False,2,False,3.0
Research,Low,Junior,JavaScript,Critical,6,9,4,28,11,16,False,1,False,8.2
Bugfix,Low,Senior,Java,Low,10,9,3,32,7,10,False,2,True,4.0
Bugfix,Medium,Junior,Java,Medium,5,7,3,13,13,12,False,0,True,6.8
Bugfix,Medium,Senior,Python,Low,3,8,4,37,8,10,True,2,True,3.6
Research,Medium,Junior,JavaScript,Medium,11,6,2,31,3,8,True,0,False,6.3
Research,High,Junior,JavaScript,Low,8,10,2,28,10,13,False,2,True,9.0
Research,Medium,Junior,Java,Medium,1,7,3,9,14,10,True,3,False,6.8
Bugfix,Medium,Junior,JavaScript,Critical,4,1,2,13,13,13,False,2,False,14.0
Research,Medium,Senior,JavaScript,Critical,4,5,2,4,6,10,False,2,True,2.9
Bugfix,Medium,Junior,Python,Medium,2,8,2,6,2,13,True,3,True,7.5
Bugfix,Low,Mid,JavaScript,Low,6,10,1,39,4,11,True,1,False,6.75
Research,Medium,Senior,Python,Medium,4,10,0,4,7,12,False,0,False,4.5
Research,Low,Junior,Java,Medium,8,8,0,36,3,15,False,3,True,7.5
Bugfix,Medium,Senior,Java,Medium,7,4,2,31,13,16,True,3,True,3.1
Bugfix,Low,Junior,Java,Critical,9,6,1,10,11,12,True,1,True,6.3
Research,High,Junior,Python,Critical,11,7,2,22,6,14,True,2,False,6.8
Feature Dev,High,Junior,Java,Low,2,4,3,24,14,10,True,1,True,6.2
Research,Low,Mid,Python,Low,3,1,4,11,1,15,False,2,True,11.25
Bugfix,Medium,Mid,JavaScript,Medium,6,9,1,6,8,16,True,1,False,6.1
Research,Low,Junior,Java,Medium,5,2,2,6,14,14,False,0,False,9.5
Research,Medium,Senior,JavaScript,Critical,5,7,4,12,10,18,True,2,True,3.3
Research,Low,Mid,Java,Critical,10,8,0,28,12,17,False,0,True,5.55
Feature Dev,High,Mid,Python,Low,4,4,1,17,1,18,False,2,False,4.65
Feature Dev,Medium,Mid,JavaScript,Low,12,8,5,4,8,10,False,3,False,5.55
Feature Dev,Medium,Junior,JavaScript,Critical,9,4,2,32,5,16,False,0,False,6.2
Feature Dev,High,Mid,JavaScript,Critical,1,7,5,26,7,13,False,3,True,5.05
Research,High,Junior,JavaScript,Critical,7,4,2,10,4,16,True,2,False,6.2
Bugfix,Medium,Mid,Java,Critical,12,2,0,34,14,11,False,1,False,7.35
Feature Dev,Medium,Mid,Java,Critical,8,5,4,19,1,18,False,2,False,4.45
Feature Dev,High,Senior,JavaScript,Medium,10,4,1,11,1,12,True,1,True,3.1
Bugfix,Low,Senior,Java,Critical,6,1,1,7,9,11,True,0,True,8.5
Research,Low,Mid,Python,Medium,7,8,4,8,7,15,False,3,True,5.55
Bugfix,Low,Junior,Python,Critical,4,2,5,4,8,16,False,3,False,9.5
Bugfix,Medium,Mid,Java,Medium,10,2,2,5,6,8,True,2,False,7.35
Research,Low,Senior,JavaScript,Low,3,1,2,39,2,9,True,3,True,8.5
Bugfix,High,Mid,Java,Critical,8,4,2,35,9,18,False,3,True,4.65
Feature Dev,High,Mid,JavaScript,Medium,8,1,3,25,13,18,True,1,False,11.25
Research,Low,Senior,Java,Low,2,2,5,21,14,14,False,0,True,5.2
Feature Dev,Low,Mid,Python,Low,12,2,2,20,6,12,False,0,True,7.35
Bugfix,Medium,Senior,Python,Critical,10,10,0,26,11,9,True,1,False,4.5
Research,High,Senior,Java,Critical,9,3,1,16,9,17,False,3,True,3.8
Research,Low,Mid,Java,Critical,9,3,4,6,13,12,True,0,False,5.4
Feature Dev,Medium,Junior,Java,Medium,9,10,1,12,7,18,False,2,False,9.0
Bugfix,Low,Mid,Python,Medium,12,2,2,4,11,11,False,0,True,7.35
Research,High,Senior,Python,Low,12,1,2,21,3,11,False,0,False,8.5
Research,High,Senior,Python,Critical,2,7,2,4,5,12,False,1,False,3.3
Bugfix,High,Senior,Java,Critical,13,1,2,27,10,18,True,2,False,8.5
Feature Dev,Low,Junior,Java,Critical,10,3,4,6,13,10,True,1,True,7.0
Bugfix,Medium,Mid,Python,Medium,1,5,0,37,7,17,False,2,True,4.45
Bugfix,Medium,Junior,Python,Low,8,4,0,21,7,12,True,1,False,6.2
Research,Low,Junior,Python,Low,10,6,0,5,9,9,False,0,True,6.3
Feature Dev,Medium,Senior,JavaScript,Critical,9,6,2,8,2,12,True,2,True,3.0
Research,Low,Senior,JavaScript,Low,7,10,3,39,14,12,False,2,True,4.5
Bugfix,Low,Mid,Python,Critical,11,10,3,4,14,16,True,3,False,6.75
Feature Dev,Medium,Junior,Python,Critical,6,1,2,37,12,9,False,0,True,14.0
Bugfix,Low,Mid,JavaScript,Critical,4,1,1,32,7,13,False,2,True,11.25
Feature Dev,Low,Junior,JavaScript,Medium,7,8,0,7,9,12,True,1,True,7.5
Bugfix,Medium,Mid,JavaScript,Critical,3,1,5,40,8,14,False,2,True,11.25
Feature Dev,High,Junior,JavaScript,Low,12,9,5,37,11,8,True,3,False,8.2
Feature Dev,Medium,Junior,JavaScript,Critical,7,3,4,21,14,15,True,3,True,7.0
Bugfix,High,Senior,JavaScript,Low,12,3,5,36,3,17,True,2,True,3.8
Research,High,Mid,JavaScript,Medium,3,6,4,13,6,9,False,3,False,4.65
Research,Medium,Senior,Java,Medium,13,5,3,14,4,10,False,2,True,2.9
Bugfix,High,Junior,Python,Low,7,8,1,20,12,10,True,0,True,7.5
Bugfix,Medium,Senior,Java,Low,2,3,0,14,9,11,True,2,False,3.8
Feature Dev,Medium,Senior,Java,Low,7,5,0,11,4,10,True,3,True,2.9
Research,Medium,Senior,Python,Low,6,5,2,38,11,16,True,2,False,2.9
Research,Medium,Junior,JavaScript,Low,1,8,2,40,12,17,True,3,False,7.5
Research,Medium,Senior,Python,Low,12,7,1,40,14,17,False,3,True,3.3
Research,High,Junior,Python,Low,1,5,1,26,12,17,False,3,False,6.0
Bugfix,Medium,Junior,Java,Low,3,5,0,30,2,17,False,2,False,6.0
Feature Dev,Low,Senior,Python,Medium,7,10,3,28,1,18,True,1,False,4.5
Bugfix,Low,Mid,Java,Critical,1,7,2,10,7,18,True,2,True,5.05
Research,High,Mid,Python,Critical,7,8,1,37,14,14,True,3,True,5.55
Feature Dev,Low,Junior,Java,Low,13,4,5,29,14,14,True,1,True,6.2
Bugfix,High,Mid,JavaScript,Medium,7,8,2,35,8,17,False,0,True,5.55
Feature Dev,Low,Junior,Python,Low,5,4,3,20,7,17,False,2,True,6.2
Research,High,Mid,Python,Medium,9,2,2,13,11,14,False,2,True,7.35
Research,Low,Junior,Java,Low,3,9,5,16,6,8,True,0,True,8.2
Research,Low,Junior,Java,Medium,9,7,2,11,3,11,False,1,True,6.8
Bugfix,High,Mid,Python,Medium,7,1,2,35,5,9,True,1,True,11.25
Bugfix,High,Mid,Java,Critical,1,7,4,23,10,8,True,0,True,5.05
Feature Dev,Medium,Junior,JavaScript,Low,7,10,0,30,4,11,True,1,True,9.0
Feature Dev,Medium,Junior,Python,Medium,3,7,3,11,5,11,False,1,False,6.8
Research,Low,Mid,Java,Medium,10,7,2,39,7,13,True,0,True,5.05
Bugfix,High,Junior,Python,Medium,9,6,4,35,14,10,True,0,False,6.3
Bugfix,Medium,Senior,Java,Medium,5,4,3,4,6,16,True,0,False,3.1
Feature Dev,High,Mid,JavaScript,Critical,7,6,1,18,2,12,True,0,True,4.65
Feature Dev,Medium,Junior,Python,Critical,8,7,1,33,10,12,False,3,True,6.8
Bugfix,High,Mid,Java,Medium,13,6,4,14,6,10,True,2,True,4.65
Bugfix,Low,Senior,JavaScript,Critical,6,9,2,17,9,8,True,2,True,4.0
Feature Dev,Low,Senior,JavaScript,Medium,11,2,3,24,12,15,False,3,True,5.2
Feature Dev,High,Junior,Python,Critical,7,1,1,23,9,11,False,2,False,14.0
Research,High,Mid,JavaScript,Critical,13,2,1,29,7,17,True,2,True,7.35
Bugfix,Low,Senior,Java,Medium,12,5,1,31,9,11,True,2,True,2.9
Feature Dev,High,Junior,JavaScript,Critical,9,3,4,4,9,10,True,3,False,7.0
Research,High,Junior,JavaScript,Critical,12,7,3,7,13,8,False,3,True,6.8
Bugfix,Low,Mid,JavaScript,Low,9,8,2,12,11,10,False,1,False,5.55
Bugfix,High,Mid,Java,Low,10,9,0,6,1,12,True,3,True,6.1
Research,Medium,Junior,JavaScript,Medium,5,8,5,38,4,12,True,0,False,7.5
Research,High,Mid,JavaScript,Critical,12,3,2,13,4,12,True,1,True,5.4
Research,Medium,Senior,JavaScript,Low,6,7,4,17,11,18,True,3,False,3.3
Bugfix,High,Mid,Java,Critical,2,10,4,7,1,15,False,1,False,6.75
Feature Dev,Medium,Senior,Java,Medium,10,4,4,6,12,9,False,2,True,3.1
Research,Medium,Junior,JavaScript,Medium,1,5,1,10,8,10,True,1,True,6.0
Research,Medium,Senior,JavaScript,Low,6,8,1,15,13,8,True,2,False,3.6
Feature Dev,High,Junior,Java,Critical,6,9,1,35,11,10,False,2,True,8.2
Research,High,Mid,Java,Medium,3,10,1,4,12,13,True,0,True,6.75
Bugfix,Medium,Junior,Python,Medium,13,1,0,19,3,9,True,1,True,14.0
Research,Low,Junior,Python,Low,6,6,0,6,9,11,True,3,True,6.3
Bugfix,Low,Mid,Python,Critical,7,7,4,11,8,16,True,0,False,5.05
Feature Dev,High,Senior,Python,Critical,10,2,0,37,4,11,True,3,True,5.2
Feature Dev,Medium,Senior,Java,Critical,2,7,1,21,6,8,True,2,False,3.3
Research,Low,Mid,Java,Low,12,8,5,16,4,11,False,0,True,5.55
Research,Medium,Senior,Python,Critical,13,5,2,6,12,14,True,0,True,2.9
Research,High,Mid,JavaScript,Critical,8,7,0,24,7,17,False,1,True,5.05
Bugfix,Medium,Mid,Java,Medium,12,6,0,22,13,9,False,3,False,4.65
Research,Medium,Senior,Python,Medium,5,3,0,32,2,16,False,1,False,3.8
Research,Low,Junior,Python,Critical,8,7,5,18,14,13,True,1,False,6.8
Bugfix,Low,Senior,JavaScript,Critical,7,4,3,32,11,10,False,0,True,3.1
Research,Low,Junior,JavaScript,Critical,8,7,5,36,1,15,True,2,False,6.8
Feature Dev,Low,Junior,JavaScript,Low,11,7,2,4,9,8,True,1,False,6.8
Research,Low,Mid,Python,Medium,8,1,0,29,7,16,False,1,True,11.25
Research,Medium,Junior,JavaScript,Critical,11,4,4,29,11,10,False,3,False,6.2
Research,Medium,Junior,Python,Medium,10,10,0,18,1,11,False,1,True,9.0
Feature Dev,Medium,Junior,Java,Critical,12,3,0,16,4,16,True,2,True,7.0
Feature Dev,Medium,Mid,Python,Low,11,3,5,16,13,13,False,2,True,5.4
Feature Dev,High,Mid,JavaScript,Low,5,2,4,4,11,8,False,2,False,7.35
Bugfix,Medium,Senior,Python,Low,5,10,3,14,5,15,False,1,False,4.5
Research,Low,Junior,Java,Critical,10,5,0,8,5,11,True,2,True,6.0
Research,Medium,Junior,Python,Medium,4,7,0,11,2,14,True,1,True,6.8
Feature Dev,Low,Senior,Python,Low,12,10,5,25,6,15,False,3,False,4.5
Research,Low,Mid,JavaScript,Low,6,4,4,38,11,8,True,1,False,4.65
Feature Dev,Medium,Mid,Python,Medium,9,9,5,34,14,15,True,1,False,6.1
Bugfix,Medium,Senior,Java,Critical,5,7,1,27,1,15,False,2,False,3.3
Research,Medium,Senior,Python,Low,13,4,5,36,10,17,True,0,True,3.1
Research,Low,Junior,Java,Low,6,7,2,19,6,8,False,3,True,6.8
Feature Dev,Low,Mid,Java,Medium,1,4,4,34,5,11,True,1,True,4.65
Bugfix,Medium,Mid,Java,Low,4,4,0,38,2,9,False,3,False,4.65
Research,High,Junior,Python,Low,10,2,1,26,5,13,True,1,True,9.5
Feature Dev,Low,Junior,Java,Low,7,4,4,21,4,18,False,0,True,6.2
Research,Medium,Senior,Python,Critical,13,5,1,18,13,12,False,2,False,2.9
Bugfix,High,Junior,Python,Low,7,4,5,31,13,13,True,0,False,6.2
Feature Dev,Low,Junior,JavaScript,Low,8,4,3,9,7,11,False,2,False,6.2
Feature Dev,Low,Senior,JavaScript,Low,13,8,1,9,3,15,False,2,True,3.6
Feature Dev,Low,Senior,JavaScript,Medium,13,5,1,22,1,17,False,3,False,2.9
Bugfix,Low,Mid,JavaScript,Low,13,4,2,23,2,16,False,0,True,4.65
Bugfix,Low,Senior,JavaScript,Medium,9,10,1,9,5,12,False,0,False,4.5
Bugfix,Low,Junior,Python,Critical,8,3,0,4,1,14,True,3,True,7.0
Feature Dev,Medium,Senior,Java,Medium,11,10,0,27,9,10,True,0,False,4.5
Research,High,Senior,JavaScript,Medium,10,9,2,27,10,16,True,2,True,4.0
Feature Dev,Low,Junior,Java,Low,1,9,2,28,13,16,True,2,True,8.2
Research,High,Senior,Java,Critical,4,1,3,37,3,12,False,1,True,8.5
Bugfix,High,Mid,JavaScript,Low,8,9,5,21,7,10,False,1,True,6.1
Research,High,Senior,Java,Low,4,6,1,16,7,12,True,3,False,3.0
Research,Low,Mid,Java,Low,13,9,3,17,6,13,False,0,True,6.1
Bugfix,Low,Senior,Python,Medium,9,8,4,16,12,11,False,2,False,3.6
Research,High,Junior,Python,Medium,7,7,4,17,4,14,False,0,True,6.8
Feature Dev,Low,Mid,Python,Critical,2,2,5,14,6,11,False,1,True,7.35
Bugfix,High,Mid,Java,Medium,13,1,4,37,3,12,False,2,True,11.25
Feature Dev,Low,Senior,Java,Medium,4,3,3,5,14,8,False,1,False,3.8
Bugfix,Low,Senior,Java,Low,9,9,4,8,8,17,False,1,False,4.0
Feature Dev,High,Senior,Java,Medium,12,10,5,17,5,12,True,0,True,4.5
Feature Dev,Low,Senior,Python,Low,5,9,0,17,1,17,True,1,False,4.0
Feature Dev,High,Senior,Java,Medium,5,4,2,35,4,12,True,3,False,3.1
Research,Medium,Mid,JavaScript,Low,11,1,1,38,3,9,False,1,False,11.25
Research,Low,Junior,JavaScript,Critical,5,2,0,38,5,9,False,0,True,9.5
Bugfix,High,Mid,Java,Medium,1,2,4,13,1,15,True,0,False,7.35
Research,Low,Junior,JavaScript,Low,7,8,5,6,1,17,False,3,True,7.5
Research,Medium,Senior,Java,Medium,11,1,0,24,7,17,True,0,False,8.5
Feature Dev,High,Mid,Python,Critical,10,7,4,20,4,9,False,2,False,5.05
Bugfix,High,Mid,Python,Critical,4,6,0,11,14,15,True,1,True,4.65
Bugfix,Low,Mid,JavaScript,Medium,3,4,2,30,14,14,False,2,False,4.65
Research,Medium,Junior,Java,Low,5,3,4,35,8,13,False,0,False,7.0
Bugfix,Medium,Senior,Python,Medium,12,10,2,40,9,8,True,3,True,4.5
Feature Dev,High,Senior,Python,Critical,9,7,3,34,7,10,True,3,True,3.3
Bugfix,Low,Junior,Python,Low,9,1,4,19,11,18,True,3,True,14.0
Bugfix,High,Mid,Java,Low,11,3,3,14,7,13,True,1,True,5.4
Research,Medium,Mid,Java,Low,13,3,0,12,12,9,False,1,True,5.4
Feature Dev,High,Junior,Java,Critical,12,6,2,9,6,10,False,3,True,6.3
Bugfix,High,Junior,JavaScript,Low,10,2,0,32,8,18,False,0,False,9.5
Bugfix,Medium,Senior,Python,Low,1,6,5,12,7,18,True,1,True,3.0
Feature Dev,Medium,Senior,Python,Low,11,1,3,37,12,14,False,3,False,8.5
Bugfix,Medium,Junior,JavaScript,Medium,12,7,1,37,3,10,False,1,False,6.8
Bugfix,Low,Senior,Python,Low,10,2,5,37,9,9,True,2,False,5.2
Feature Dev,Medium,Mid,Java,Medium,6,6,5,11,12,13,False,3,False,4.65
Feature Dev,Medium,Senior,JavaScript,Critical,6,1,4,16,3,10,False,0,False,8.5
Research,High,Mid,Java,Critical,5,5,0,32,11,17,True,1,False,4.45
Bugfix,Low,Junior,Java,Medium,3,9,2,39,9,11,False,2,False,8.2
Bugfix,Low,Senior,JavaScript,Medium,5,7,4,29,3,11,False,3,True,3.3
Feature Dev,Low,Junior,Python,Medium,10,9,1,26,9,18,False,0,True,8.2
Bugfix,Medium,Mid,Python,Low,11,9,2,10,5,16,True,1,False,6.1
Feature Dev,Low,Senior,Java,Medium,13,10,0,35,9,16,True,0,False,4.5
Feature Dev,Medium,Mid,Python,Critical,4,5,1,35,4,8,False,3,True,4.45
Bugfix,Medium,Senior,Java,Critical,13,3,5,11,4,13,False,3,True,3.8
Bugfix,Medium,Mid,Python,Medium,2,8,0,38,14,11,True,2,True,5.55
Feature Dev,High,Senior,Python,Critical,11,10,5,26,4,8,False,0,False,4.5
Research,High,Junior,Python,Medium,8,1,2,18,4,18,True,1,True,14.0
Bugfix,Medium,Junior,Python,Low,5,9,2,21,8,12,False,0,True,8.2
Research,Low,Senior,JavaScript,Critical,8,3,4,7,4,13,True,0,False,3.8
Bugfix,Medium,Junior,Java,Medium,1,7,4,31,1,9,True,1,True,6.8
Research,Medium,Senior,JavaScript,Low,10,6,4,24,5,18,False,1,True,3.0
Bugfix,Low,Junior,JavaScript,Low,5,3,5,26,6,12,True,2,True,7.0
Feature Dev,High,Junior,Java,Medium,2,8,1,38,6,14,True,3,True,7.5
Feature Dev,Medium,Junior,Java,Low,2,2,0,26,1,11,True,3,False,9.5
Research,Medium,Senior,JavaScript,Critical,6,10,3,16,6,8,True,2,False,4.5
Research,High,Mid,JavaScript,Medium,3,4,3,5,9,14,False,0,True,4.65
Research,Low,Senior,JavaScript,Medium,8,5,3,19,1,11,False,1,True,2.9
Research,Medium,Mid,JavaScript,Medium,4,6,2,5,5,8,False,3,True,4.65
Bugfix,Low,Junior,Java,Low,8,1,4,5,4,10,False,3,False,14.0
Bugfix,Low,Senior,JavaScript,Medium,12,9,1,18,14,8,True,1,True,4.0
Research,High,Senior,Python,Medium,11,5,5,17,5,11,False,1,True,2.9
Feature Dev,Medium,Senior,Python,Critical,8,7,4,37,2,15,True,0,True,3.3
Bugfix,Low,Junior,JavaScript,Medium,6,1,4,29,10,17,False,1,False,14.0
Bugfix,Medium,Mid,Java,Critical,11,6,1,37,13,13,True,3,True,4.65
Feature Dev,Low,Junior,Java,Medium,8,9,4,16,7,15,False,3,False,8.2
Feature Dev,High,Senior,Java,Critical,9,9,4,37,12,14,False,2,False,4.0
Bugfix,High,Junior,JavaScript,Medium,11,2,5,11,9,13,False,2,True,9.5
Research,Low,Senior,Java,Low,6,10,0,23,10,15,False,2,True,4.5
Research,Low,Senior,Java,Critical,1,1,5,32,1,12,True,0,False,8.5
Feature Dev,High,Senior,Java,Low,4,5,5,28,4,14,False,3,True,2.9
Bugfix,High,Mid,Java,Low,13,2,1,20,9,18,False,0,True,7.35
Bugfix,Low,Senior,Java,Medium,10,3,1,31,1,10,True,0,True,3.8
Bugfix,Low,Junior,Python,Low,1,7,5,15,9,11,True,0,False,6.8
Research,Low,Junior,JavaScript,Medium,8,3,1,27,10,8,False,2,True,7.0
Bugfix,Medium,Mid,JavaScript,Critical,4,1,4,9,8,11,True,0,False,11.25
Research,Low,Junior,Java,Critical,12,3,4,12,7,15,False,0,True,7.0
Feature Dev,Low,Mid,JavaScript,Critical,2,7,1,30,5,9,True,3,False,5.05
Bugfix,High,Mid,Java,Low,1,7,2,27,3,10,False,2,True,5.05
Feature Dev,Medium,Junior,Python,Medium,13,4,5,25,13,15,False,0,True,6.2
Bugfix,Low,Mid,Python,Critical,6,7,3,26,12,9,False,0,False,5.05
Feature Dev,Low,Senior,JavaScript,Critical,5,10,0,30,3,17,True,0,True,4.5
Research,Medium,Mid,Python,Low,3,6,2,10,13,18,True,0,False,4.65
Research,High,Mid,Java,Low,7,9,3,7,3,15,False,1,True,6.1
Feature Dev,Low,Junior,JavaScript,Low,13,3,5,39,14,12,True,0,False,7.0
Research,Low,Senior,Java,Medium,1,9,1,4,6,16,False,0,True,4.0
Research,Low,Junior,Python,Medium,3,7,1,37,2,10,False,2,True,6.8
Bugfix,High,Mid,Python,Critical,1,3,5,6,11,16,False,3,False,5.4
Feature Dev,Medium,Junior,Java,Medium,10,10,4,37,5,17,False,2,False,9.0
Research,High,Mid,Java,Medium,2,9,5,33,14,15,True,1,True,6.1
Bugfix,Medium,Senior,JavaScript,Medium,4,2,0,9,4,9,False,2,False,5.2
Research,Low,Senior,Python,Medium,10,8,3,31,4,16,False,3,False,3.6
Feature Dev,Medium,Mid,Python,Critical,3,8,5,32,14,9,True,1,True,5.55
Bugfix,Low,Senior,Java,Low,12,7,3,20,1,17,False,1,True,3.3
Research,High,Senior,Java,Critical,3,4,3,18,2,12,False,1,True,3.1
Research,Low,Mid,Java,Critical,1,4,4,17,13,13,False,0,False,4.65
Research,High,Mid,Java,Critical,12,7,5,4,1,15,False,2,True,5.05
Research,High,Senior,Python,Critical,1,5,2,31,3,12,True,2,True,2.9
Bugfix,Low,Junior,JavaScript,Medium,5,8,4,34,4,13,True,0,True,7.5
Bugfix,High,Mid,JavaScript,Medium,3,9,5,4,3,16,True,3,True,6.1
Research,High,Mid,JavaScript,Critical,1,3,3,36,7,12,True,2,False,5.4
Bugfix,Low,Senior,Python,Low,9,7,3,34,4,13,True,3,True,3.3
Research,High,Senior,Python,Critical,7,7,4,12,3,8,False,0,False,3.3
Feature Dev,Medium,Senior,Java,Low,2,4,5,18,10,8,True,1,False,3.1
Feature Dev,Medium,Junior,JavaScript,Low,3,10,2,24,14,17,False,2,True,9.0
Feature Dev,Low,Junior,JavaScript,Low,8,1,1,22,4,11,True,2,True,14.0
Bugfix,Low,Junior,JavaScript,Medium,9,10,5,39,11,12,False,0,True,9.0
Feature Dev,Low,Mid,Java,Medium,4,6,3,20,1,10,True,2,False,4.65
Feature Dev,Medium,Mid,JavaScript,Critical,12,7,1,38,13,15,False,1,True,5.05
Bugfix,Medium,Mid,Python,Medium,10,2,5,27,10,15,True,3,True,7.35
Feature Dev,High,Mid,Python,Medium,5,8,3,13,6,17,True,2,True,5.55
Research,Medium,Junior,JavaScript,Critical,9,2,2,36,12,11,False,3,False,9.5
Research,Low,Mid,Python,Critical,10,4,0,12,10,9,True,1,True,4.65
Feature Dev,High,Senior,JavaScript,Low,9,1,5,40,13,16,True,3,False,8.5
Feature Dev,Medium,Junior,Java,Medium,9,9,3,26,14,11,True,1,False,8.2
Feature Dev,Low,Senior,JavaScript,Low,10,6,3,18,12,14,False,2,False,3.0
Bugfix,Medium,Junior,JavaScript,Critical,10,4,0,12,7,12,False,2,False,6.2
Research,High,Mid,Python,Low,7,1,1,27,10,12,True,3,False,11.25
Feature Dev,High,Senior,Java,Low,13,3,2,10,1,16,True,1,False,3.8
Research,Medium,Senior,Python,Low,12,7,5,14,11,13,False,2,True,3.3
Research,Low,Mid,Python,Low,10,7,5,7,9,16,False,1,True,5.05
Feature Dev,Medium,Junior,JavaScript,Critical,4,6,1,38,6,8,True,0,False,6.3
Research,High,Senior,Python,Medium,8,4,4,40,12,18,True,3,False,3.1
Research,Low,Senior,JavaScript,Medium,13,1,1,8,5,16,True,1,False,8.5
Bugfix,Medium,Senior,JavaScript,Low,5,9,0,24,2,12,False,2,False,4.0
Research,High,Junior,Java,Critical,5,7,3,21,7,17,False,2,True,6.8
Feature Dev,Low,Mid,JavaScript,Medium,2,6,5,17,10,12,True,3,True,4.65
Bugfix,Medium,Senior,JavaScript,Medium,4,3,4,11,1,11,True,3,False,3.8
Feature Dev,Low,Senior,Python,Critical,3,10,4,37,10,9,True,0,True,4.5
Bugfix,Low,Junior,Python,Critical,3,5,1,5,3,12,True,1,True,6.0
Research,Medium,Junior,Python,Medium,5,1,2,21,5,17,True,1,False,14.0
Research,Low,Mid,Java,Critical,1,3,0,30,13,15,False,0,True,5.4
Bugfix,Medium,Junior,Java,Critical,7,10,3,7,4,15,True,0,False,9.0
Research,Medium,Junior,Java,Low,8,1,3,40,10,13,True,2,False,14.0
Bugfix,Low,Junior,Python,Critical,4,6,3,9,2,15,False,0,False,6.3
Feature Dev,Medium,Junior,Python,Low,9,5,3,39,9,9,False,1,True,6.0
Feature Dev,High,Junior,Python,Critical,7,6,1,20,3,15,True,1,True,6.3
Bugfix,Low,Junior,JavaScript,Low,9,6,0,40,2,18,True,0,False,6.3
Research,Low,Senior,Python,Low,7,7,3,11,2,15,True,2,True,3.3
Research,Medium,Junior,JavaScript,Medium,9,1,0,31,2,14,True,1,False,14.0
Bugfix,Medium,Junior,JavaScript,Low,11,10,4,16,1,14,False,3,True,9.0
